food_code,food_name,SUMBER,AIR (g),energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,SERAT (g),ABU (g),calcium_mg_100g,FOSFOR (mg),BESI (mg),sodium_mg_100g,potassium_mg_100g,TEMBAGA (mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR-TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT C (mg),bdd_percent,category,is_olahan_code,food_name_normalized_tkpi,urt_match_normalized,match_score,best_candidate,match_status,urt_food_name,urt_gram,urt,food_name_normalized_urt,urt_gram_numeric,gram_per_portion,URT,match_type,is_usable_for_recommendation
CR031,Kacang tanah sangan tanpa selaput,DABM-1964,"2,6",559,,,,"2,6","2,7",74.0,393,"1,9",33.0,,"520,4","1,7",0,0,,"0,3","29,47",8,0,100.0,LN,False,kacang tanah sangan tanpa selaput,,60.0,keju kacang tanah,low_score,,,,,,,,unmatched,False
CR032,"Kacang tanah, kering",KZGPI- l990,"9,6",525,,,,"2,4","2,4",316.0,456,"5,7",31.0,,"1,55","1,9",,0,30,"0,44","0,27","1,4",,100.0,LN,False,kacang tanah,,82.75862068965517,keju kacang tanah,low_score,,,,,,,,unmatched,False
CR033,"Kacang tolo/ tunggak, kering",KZGPI- l990,"13,5",331,,,,"1,6","3,6",481.0,399,"13,9",15.0,,"1,03","5,9",,65,,"0,06","0,2","4,3",,100.0,LN,False,kacang tolo tunggak,,66.66666666666667,kacang toto,low_score,,,,,,,,unmatched,False
CR034,"Kacang tunis, kering",KZGMI-2001,"10,5",351,,,,"29,5","3,2",120.0,220,"6,9",1.0,0.0,"1,4","2,9",,,,"0,57","0,13","2,5",,100.0,LN,False,kacang tunis,,69.56521739130434,kacang mete,low_score,,,,,,,,unmatched,False
CR035,"Kacang uci, kering",KZGPI- l990,"9,9",358,,,,"7,4","3,7",269.0,264,"0,5",13.0,,"0,35",,,20,,"0,1","0,2","2,5",2,100.0,LN,False,kacang uci,,66.66666666666667,kacang kedelai,low_score,,,,,,,,unmatched,False
CR036,"Kacang urei, kering",KZGMI-2001,"12,8",354,,,,"26,1","3,3",220.0,220,"5,1",1.0,0.0,"0,7","3,1",,,,"0,55","0,05","3,5",,,LN,False,kacang urei,,72.72727272727273,kacang mete,low_score,,,,,,,,unmatched,False
CR037,"Kenari banda, kering",KZGMI-2001,13,616,,,,,"3,2",0.0,380,"1,4",11.0,460.0,"1,1","3,2",,90,,"0,83","0,08","0,5",,100.0,LN,False,kenari banda,,57.14285714285714,ikan teri,low_score,,,,,,,,unmatched,False
CR038,"Kenari, kering",DABM-1964,3,657,15.0,66.0,13.0,,3,92.0,691,"7,7",3.0,,"0,97",3,0,,,"0,42","0,09","0,5",0,100.0,LN,False,kenari,,61.53846153846154,kentang,low_score,,,,,,,,unmatched,False
CR039,"Komak polong, segar",KZGMI-2001,"74,3",99,,,,"10,3","1,1",50.0,99,"13,1",15.0,567.0,"0,2","0,6",,5,,"0,13","0,03","0,2",,100.0,LN,False,komak polong,,58.33333333333333,pisang kepok,low_score,,,,,,,,unmatched,False
CR040,"Koro andong, kering",KZGPI- 1990,"10,8",356,,,,7,3,150.0,272,"6,2",18.0,,"0,73","2,8",,0,,"0,29","0,02","1,4",1,100.0,LN,False,koro andong,,54.54545454545454,kacang toto,low_score,,,,,,,,unmatched,False
CR041,"Koro benguk, biji, kering",DABM-1964,15,332,24.0,3.0,55.0,"5,6",3,30.0,200,2,42.0,,"1,25","8,7",,0,70,"0,3","0,12","1,7",0,95.0,LN,False,koro benguk biji,,44.44444444444444,jeruk nipis,low_score,,,,,,,,unmatched,False
CR042,"Koro kerupuk, biji, segar",DABM-1964,"67,2",125,,,,"2,2","1,7",17.0,12,"2,7",16.0,,"0,48","3,4",,0,80,"0,11","0,04","1,1",31,68.0,LN,False,koro kerupuk biji,,57.14285714285714,kerupuk udang ikan,low_score,,,,,,,,unmatched,False
CR043,"Koro loke, biji, segar",DABM-1964,"88,6",33,,,,"3,5","0,6",60.0,40,2,2.0,,"0,09","0,4",,0,40,"0,1",0,"0,2",0,95.0,LN,False,koro loke biji,,43.47826086956522,ikan lele,low_score,,,,,,,,unmatched,False
CR044,"Koro roay, kering",KZGPI- 1990,13,344,,,,"7,5",3,70.0,103,"4,4",18.0,,"0,72","2,7",,0,28,"0,11","0,21","1,4",1,100.0,LN,False,koro roay,,50.0,kornet sapi,low_score,,,,,,,,unmatched,False
CR045,"Koro wedus, biji, kering",DABM-1964,"11,8",338,,,61.0,"5,8","3,5",88.0,395,"3,5",43.0,,"1,3","9,1",0,0,,"0,62","0,12","1,8",0,100.0,LN,False,koro wedus biji,,48.0,jambu biji,low_score,,,,,,,,unmatched,False
CR046,"Lamtoro biji, muda, segar",DABM-1964,"77,4",85,,,,"10,8","1,2",180.0,53,"2,7",35.0,,"0,02","1,4",,0,423,"0,08","1,15",1,15,100.0,LN,False,lamtoro biji muda,,59.25925925925925,jambu biji,low_score,,,,,,,,unmatched,False
CR047,"Lamtoro biji, tua, segar",DABM-1964,"61,4",148,,,,17,"1,3",155.0,59,"2,2",28.0,,"0,03","2,4",,,416,"0,23","0,49","2,8",20,100.0,LN,False,lamtoro biji tua,,61.53846153846154,jambu biji,low_score,,,,,,,,unmatched,False
CR048,Lamtoro var. gung tanpa kulit,KZGPI- 1990,"10,2",367,,,,"2,6","4,4",136.0,441,"23,3",65.0,,"0,07","5,6",,,18900,"0,06","1,15",1,9,100.0,LN,False,lamtoro var. gung tanpa kulit,,46.808510638297875,kacang tanah kupas,low_score,,,,,,,,unmatched,False
CR049,Lamtoro var. lokal dengan kulit,KZGPI- 1990,"13,5",336,,,,"15,4","1,8",867.0,321,"1,5",134.0,,"0,07","5,4",,,321,"0,15","1,34","0,9",16,100.0,LN,False,lamtoro var. lokal dengan kulit,,50.0,ayam dengan kulit,low_score,,,,,,,,unmatched,False
CR050,"Nangka, biji, segar",DABM-1964,"57,7",165,,,,"1,8","1,3",33.0,200,1,69.0,179.0,"0,12","0,2",0,0,,"0,2","0,03","1,4",10,75.0,LN,False,nangka biji,,70.58823529411764,nangka,low_score,,,,,,,,unmatched,False
CR051,"Saga merah terkupas, kering",KZGPI- 1990,"8,1",449,,,,"3,5","3,9",1062.0,161,"14,2",66.0,,"0,07","5,7",,,107,"0,09","1,5","10,9",7,100.0,LN,False,saga merah terkupas,,51.61290322580645,tepung beras,low_score,,,,,,,,unmatched,False
CR052,"Wijen, kering",DABM-1964,"5,8",568,,,,"3,6","5,8",1125.0,614,"9,5",18.0,,"4,16","7,9",,15,,"0,93","0,2","5,7",0,100.0,LN,False,wijen,,50.0,maizena,low_score,,,,,,,,unmatched,False
DR001,"Akar tonjong, segar",KZGPI-1990,"86,7",45,,,,"1,2",1,72.0,125,"1,3",,,"0,02","0,2",0,83,90,"0,02","0,03","1,9",2,100.0,S,False,akar tonjong,,60.0,makaroni,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR002,"Ale,toge, segar",KZGPI-1990,"90,6",37,,,,"1,7","0,7",50.0,248,2,,105.0,"0,16","0,4",0,0,35,"0,02","0,09","0,6",46,90.0,S,False,ale toge,,47.05882352941176,ikan teri,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR003,"Andaliman, segar",KZGPI-1990,"74,2",99,,1.0,18.0,"8,5","2,2",383.0,107,"2,9",,,,,0,,6300,3,,,15,100.0,S,False,andaliman,,55.55555555555556,ikan asin,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR004,"Andewi, segar",DABM-1964,"91,8",226,,,,"4,1","1,1",33.0,66,1,29.0,,"0,13",1,,1717,,"0,14","0,09","0,5",10,80.0,S,False,andewi,,53.333333333333336,ikan teri,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR005,"Bakung, segar",KZGMI-2001,"92,5",27,2.0,,,"3,8","1,1",19.0,20,"0,5",37.0,340.0,"0,2","0,3",,1080,,"0,2","0,1","0,3",42,100.0,S,False,bakung,,66.66666666666667,jagung,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR006,"Baligo, segar",DABM-1964,"96,1",15,,,3.0,"0,4","0,3",19.0,19,"0,4",,,"0,02","0,6",,0,,"0,04","0,02","0,3",13,69.0,S,False,baligo,,54.54545454545454,bakso,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR007,"Bawang bombay, segar",DABM-1964,"87,5",43,,,,2,"0,6",32.0,44,"0,5",,,"0,1","0,3",,788,50,"0,03","0,21","0,4",9,94.0,S,False,bawang bombay,,56.00000000000001,kacang merah,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR008,"Bayam, segar",KZGPI-1990,"94,5",16,,,,"0,7","1,3",166.0,76,"3,5",,,"0,13","0,4",,2699,2293,"0,04","0,1",1,41,71.0,S,False,bayam,,88.88888888888889,ayam,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR009,"Bayam merah, segar",KZGMI-2001,"88,5",41,,,,"2,2","2,2",520.0,80,7,20.0,60.0,"0,2","0,8",0,7325,,"0,2","0,1","0,1",62,71.0,S,False,bayam merah,,69.56521739130434,kacang merah,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR010,"Bit, segar",DABM-1964,"87,6",41,,,,"2,6","1,1",27.0,43,1,,,"0,2","0,7",,0,20,"0,02","0,05","0,3",10,75.0,S,False,bit,,60.0,biskuit,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR011,Buah kelor,KZGMI-2001,"89,5",38,,,,"3,2","1,3",30.0,54,0,48.0,216.0,0,"0,2",,31,,"0,1","0,1","4,1",25,65.0,S,False,buah kelor,,57.14285714285714,rebon basah,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR012,Buah merah,KZGMI-2001,"81,2",87,,,,4,"0,4",30.0,1,"1,1",110.0,140.0,"0,1","0,3",0,0,,"1,5","0,1","0,2",15,100.0,S,False,buah merah,,70.0,apel merah,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR013,"Buncis, segar",KZGPI-1990,"89,6",34,,,,"1,9","0,5",101.0,42,"0,7",8.0,250.0,"0,07","0,3",0,772,550,"0,05","0,4","2,8",11,90.0,S,False,buncis,,54.54545454545454,bihun,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR014,"Bunga pepaya, segar",KZGPI-1990,"87,3",45,,,,"1,6","1,7",290.0,113,"4,2",,,"0,08","0,8",,2792,5,"0,01","0,28",1,23,100.0,S,False,bunga pepaya,,66.66666666666667,pepaya,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR015,"Bunga turi, segar",BKP,"90,4",42,2.0,,,"3,3","0,4",28.0,23,"0,8",,,"0,1","0,6",,1200,0,"0,5","0,02","0,4",1,,S,False,bunga turi,,63.1578947368421,teri nasi,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR016,"Caisin, segar",KZGPI-1990,"93,6",20,,,,"1,2","0,9",123.0,40,"1,9",18.0,,"0,05","1,4",,1675,4188,"0,04","0,19","0,6",3,100.0,S,False,caisin,,53.333333333333336,hati sapi,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR017,"Daun bangun- bangun, segar",KZGPI-1990,"92,5",27,,,4.0,1,"1,6",279.0,40,"13,6",,144.0,,,,1489,13288,"0,16","0,1",0,5,66.0,S,False,daun bangun bangun,,50.0,ikan cakalang asin,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR018,"Daun bawang merah, segar",KZGMI-2001,"89,1",41,2.0,,,"2,1","0,8",60.0,40,"2,3",30.0,90.0,"0,1","0,3",0,218,,"0,1","0,1","0,2",11,67.0,S,False,daun bawang merah,,68.96551724137932,kacang merah,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR019,"Daun bebuas, segar",KZGPI-1990,"87,9",41,,1.0,,"2,1","1,1",29.0,245,"1,5",,,,,0,,3099,"0,01",,,3,49.0,S,False,daun bebuas,,63.63636363636363,udang basah,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR020,"Daun belem, segar",KZGPI-1990,"84,6",50,,,,"1,9","1,8",698.0,151,"7,5",,,,,0,,13072,"0,05",,,21,81.0,S,False,daun belem,,53.333333333333336,belut,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR021,"Daun bluntas, segar",DABM-1964,86,44,,,,,"2,3",256.0,49,"5,6",,,,,,,3980,"0,02",,,30,65.0,S,False,daun bluntas,,60.86956521739131,udang basah,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR022,"Daun gandaria, segar",DABM-1964,81,63,,,14.0,"2,1","1,6",40.0,45,"4,7",3.0,,,,,503,600,"0,04","0,04","0,2",61,65.0,S,False,daun gandaria,,52.63157894736843,durian,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR023,"Daun gedi besar, segar",KZGMI-2001,84,58,,,10.0,"3,3","2,4",440.0,100,"1,9",30.0,40.0,"0,2","2,1",,596,,"0,4","0,5","2,8",11,65.0,S,False,daun gedi besar,,61.53846153846154,udang basah,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR024,"Daun gedi kecil, segar",KZGMI-2001,"83,7",61,,,,"3,4",2,420.0,70,"1,7",20.0,50.0,"0,1","1,4",,607,,"0,4","0,3","2,9",11,65.0,S,False,daun gedi kecil,,50.0,daging kerbau,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR025,"Daun gelang, segar",KZGPI-1990,"90,3",30,,,,"1,3","1,9",350.0,210,"11,9",,,"0,31","1,2",0,4701,1954,"0,01","0,14","0,7",1,52.0,S,False,daun gelang,,60.0,gula aren,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR026,"Daun gunda bali, segar",KZGPI-1990,"86,4",50,,,7.0,"1,4","1,1",167.0,62,"0,5",,,,,0,,6571,"0,05",,,20,49.0,S,False,daun gunda bali,,61.53846153846154,daging babi,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR027,"Daun gunda serang, segar",KZGPI-1990,"84,6",62,,,,"1,3","1,1",171.0,64,"0,6",,,,,0,,7347,"0,02",,,20,47.0,S,False,daun gunda serang,,55.172413793103445,ikan pindang,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR028,"Daun jambu mete muda, segar",DABM-1964,78,78,,,,3,"0,7",33.0,64,"8,9",,,,,,4484,2689,"0,02","1,12","1,1",65,65.0,G,False,daun jambu mete muda,,48.275862068965516,jambu air,low_score,,,,,,,,unmatched,False
DR029,"Daun jampang, segar",KZGPI-1990,"88,9",34,,,,"1,4","1,5",21.0,245,1,,,,,0,,4357,"0,03",,,3,47.0,G,False,daun jampang,,61.53846153846154,daging kambing,low_score,,,,,,,,unmatched,False
DR030,"Daun jawaw seluang, segar",KZGMI-2001,"77,2",93,5.0,,,"3,9","1,2",146.0,103,"5,3",2.0,434.0,"0,5","1,5",,,,"0,1","0,7",,9,,S,False,daun jawaw seluang,,51.85185185185186,selai jam,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR031,"Daun jonghe, segar",KZGPI-1990,"91,4",27,,,,2,"1,4",253.0,192,"9,5",,,,,0,,5057,"0,01",,,1,45.0,S,False,daun jonghe,,50.0,udang,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR032,"Daun kacang ma, segar",KZGPI-1990,"89,1",36,,,,"1,8","0,6",64.0,220,"2,2",7.0,,"0,2","0,3",,2893,4377,"0,04","0,18","1,2",4,33.0,S,False,daun kacang ma,,69.23076923076923,kacang hijau,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR033,"Daun kacang panjang, segar",KZGPI-1990,"89,7",30,,,,"1,7","1,1",200.0,66,"4,5",7.0,,"0,2","0,3",0,2734,4592,"0,33","0,2","1,1",30,65.0,S,False,daun kacang panjang,,59.45945945945945,kacang tanah kupas,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR034,"Daun kasbi/singkong karet, segar",KZGMI-2001,"80,3",92,4.0,,,"5,8","1,2",140.0,70,"1,6",70.0,90.0,"0,3","1,1",,9999,,"0,1","0,2","0,1",74,87.0,S,False,daun kasbi singkong karet,,51.28205128205128,daging kambing,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR035,"Daun katuk, segar",KZGPI-1990,81,59,,1.0,,"1,5","1,7",233.0,98,"3,5",,,"0,3","1,3",,9152,10020,0,"0,31","2,3",164,40.0,S,False,daun katuk,,60.86956521739131,daging kerbau,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR036,"Daun kecipir, segar",DABM-1964,85,52,5.0,,,,1,134.0,81,"6,2",,114.0,"0,3","0,8",,3981,5240,"0,28","0,4","2,2",29,70.0,S,False,daun kecipir,,56.00000000000001,daging kerbau,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR037,"Daun kedondong, segar",DABM-1964,81,59,,,,"10,7","1,8",540.0,82,"6,2",,579.0,,,,1624,2900,"0,06","0,2","1,5",29,65.0,S,False,daun kedondong,,78.26086956521739,kedondong,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR038,"Daun kelor, segar",KZGMI-2001,"75,5",92,,,,"8,2","3,5",1077.0,76,6,61.0,298.0,"0,1","0,6",,3266,,"0,3","0,1","4,2",22,65.0,S,False,daun kelor,,60.86956521739131,daging kerbau,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR039,"Daun kemang, segar",DABM-1964,85,43,,,,"8,4","1,7",35.0,106,1,,,,,,1282,1017,"0,06","0,1","1,2",30,65.0,S,False,daun kemang,,69.56521739130434,ikan kembung,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR040,"Daun kenikir, segar",BKP,"87,6",45,,,,"5,8","1,7",328.0,65,"2,7",,431.0,"0,1","0,6",,30200,12,"0,5","0,3","4,5",0,,S,False,daun kenikir,,56.00000000000001,daging kerbau,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR041,"Daun kesum, segar",KZGPI-1990,"84,8",48,,,,"1,6","0,8",125.0,142,"2,6",,,"0,4","1,2",0,4216,8715,"0,01","0,1","1,6",4,53.0,S,False,daun kesum,,60.86956521739131,daging kerbau,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR042,"Daun kol sawi, segar",KZGPI-1990,"93,1",22,,,,"0,9","0,7",200.0,92,"3,2",,,"0,1","0,2",0,1806,2177,"0,03","0,2","0,6",3,87.0,S,False,daun kol sawi,,51.85185185185186,kacang kedelai,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR043,"Daun koro, segar",DABM-1964,91,23,3.0,,,,2,134.0,81,"6,2",,,"0,2","0,5",,2386,5240,"0,28","0,2","1,3",29,65.0,S,False,daun koro,,54.54545454545454,daging kerbau,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR044,"Daun kubis, segar",KZGMI-2001,"86,2",51,,,8.0,"3,4","2,2",100.0,50,"3,4",50.0,100.0,"0,9","0,6",,9999,,"0,4","0,1","0,2",16,75.0,S,False,daun kubis,,58.33333333333333,daging kambing,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR045,"Daun kumak, segar",KZGPI-1990,"95,2",14,,,,"0,9","0,9",90.0,59,"2,7",,,"0,1","0,3",,1274,2961,"0,01",0,"0,5",3,78.0,S,False,daun kumak,,60.0,ikan kakap,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR046,"Daun labu siam, segar",DABM-1964,"89,7",34,4.0,,,"3,5","1,2",58.0,70,"2,5",,,"0,2","0,3",,4773,2025,"0,08","0,4","1,7",16,100.0,S,False,daun labu siam,,50.0,ikan cakalang asin,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR047,"Daun labu waluh/kuning, segar",DABM-1964,"89,7",34,,,,"2,9","1,6",138.0,99,"3,7",,,"0,2","0,3",,1258,2750,"0,14","0,2","1,3",36,70.0,S,False,daun labu waluh kuning,,56.41025641025641,kuning telur ayam,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR048,"Daun lamtoro, segar",KZGPI-1990,74,87,,,,"3,3","1,5",725.0,174,"3,9",,,"0,5","1,4",0,6900,13040,0,"0,1","2,3",32,40.0,S,False,daun lamtoro,,52.17391304347826,kacang toto,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR049,"Daun leilem, segar",KZGMI-2001,"79,4",76,,,,"3,1","1,8",296.0,22,"3,4",6.0,46.0,"0,5","1,1",,753,,"0,3","0,1","2,5",22,90.0,S,False,daun leilem,,70.0,ikan lele,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR050,"Daun leunca, segar",DABM-1964,85,49,,,,,"1,7",210.0,80,"6,1",,,,,,,1900,"0,14",,,40,70.0,S,False,daun leunca,,54.54545454545454,tepung sagu,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR051,"Daun lobak, segar",DKBM-1964,90,30,,,,"3,2","1,4",140.0,33,"3,7",,,"0,2","0,2",,5039,1000,"0,07","1,1","6,5",109,70.0,S,False,daun lobak,,53.333333333333336,salak,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR052,"Daun lompong talas, segar",DABM-1964,"87,2",44,3.0,,,"3,3","1,6",76.0,59,1,,,"0,2","0,4",,2584,2000,"0,08","0,4","1,4",31,75.0,S,False,daun lompong talas,,48.78048780487805,nasi beras giling hitam,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR053,"Daun mangkokan, segar",DABM-1964,82,57,,,,,"2,2",474.0,49,4,,,,,,,5450,"0,06",,,83,80.0,S,False,daun mangkokan,,60.0,nangka,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR054,"Daun matel ambon, segar",KZGPI-1990,"77,1",71,,,,"4,6",3,93.0,95,"10,2",,,,,0,,49,"0,08",,,26,100.0,S,False,daun matel ambon,,57.14285714285714,pisang ambon,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR055,"Daun melinjo, segar",DABM-1964,"70,8",104,5.0,,,"10,3","1,6",219.0,82,"4,2",,,"0,4","0,6",,823,10000,"0,09",,,182,88.0,S,False,daun melinjo,,53.84615384615385,daging kambing,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR056,"Daun mengkudu, segar",KZGPI-1990,"80,9",65,4.0,,,"3,9",2,296.0,40,"6,9",,,,,0,2,4958,"0,01","0,1","5,7",35,90.0,S,False,daun mengkudu,,51.85185185185186,daging kambing,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR057,"Daun ndusuk, segar",KZGMI-2001,56,166,,,,"10,7",3,40.0,20,"1,8",40.0,310.0,"0,2","0,7",,14457,,"0,4","0,1","0,1",30,,S,False,daun ndusuk,,54.54545454545454,susu kerbau,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR058,"Daun oyong, segar",DABM-1964,93,22,1.0,,,2,"0,6",21.0,44,2,,,"0,1","0,2",,855,1000,"0,08","0,1","0,8",150,65.0,S,False,daun oyong,,53.333333333333336,udang,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR059,"Daun pakis, segar",KZGPI-1990,"86,8",39,,,,2,"1,4",136.0,159,"2,3",,,"0,2","0,3",0,1625,3292,"0,02","0,1","0,5",3,70.0,S,False,daun pakis,,54.54545454545454,pisang ambon,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR060,"Daun pakis longgiho, segar",KZGMI-2001,"89,5",54,,,,"2,1","1,6",40.0,80,"0,7",70.0,500.0,"0,4","0,1",,168,,"0,4","0,3","0,2",8,70.0,S,False,daun pakis longgiho,,46.666666666666664,jeruk nipis,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR061,"Daun pakis wambateu, segar",KZGMI-2001,"86,9",53,,,,"4,8","1,3",30.0,100,"0,3",20.0,200.0,"0,2","0,3",,191,,"0,7","0,2","0,3",6,70.0,S,False,daun pakis wambateu,,50.0,daging kerbau,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR062,"Daun paku, segar",KZGMI-2001,"88,8",29,,,,"4,3","1,2",13.0,88,"1,3",19.0,434.0,"0,5","0,7",,18,,"0,2","0,1","11,7",10,70.0,S,False,daun paku,,61.53846153846154,duku,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR063,"Daun pangi,segar",KZGMI-2001,"76,1",104,,,,"8,3","1,5",256.0,22,"1,8",4.0,266.0,"1,7","0,5",,55,,"0,4","0,1","0,1",23,90.0,S,False,daun pangi,,63.63636363636363,ikan pindang,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR064,"Daun pare, segar",KZGMI-2001,"87,3",49,,1.0,,3,"1,6",217.0,70,"3,3",7.0,498.0,"0,4","1,2",,1800,,"0,4","0,2","0,6",7,,S,False,daun pare,,55.55555555555556,ikan peda,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR065,"Daun pepaya, segar",DABM-1964,"75,4",87,8.0,2.0,,"1,5","2,7",353.0,63,"0,8",,,"0,2","1,5",,5409,18250,"0,15","0,5","1,9",140,71.0,S,False,daun pepaya,,70.58823529411764,pepaya,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR066,"Daun pohpohan, segar",KZGPI-1990,"87,4",37,,,,"2,6","2,4",744.0,80,"5,9",,,,,0,,7378,"0,03",,,5,69.0,S,False,daun pohpohan,,48.0,ikan pindang,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR067,"Daun selasih, segar",KZGMI-2001,"83,1",62,4.0,,,"5,3","1,9",122.0,16,"13,9",3.0,259.0,"0,4","0,7",0,4112,,"0,5","0,1","0,2",24,53.0,S,False,daun selasih,,66.66666666666667,selai jam,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR068,"Daun semanggi, segar",KZGPI-1990,"84,7",45,,,,"1,9","1,9",98.0,90,7,,,"0,5","0,3",0,64,3365,"0,01","0,5","0,7",6,90.0,S,False,daun semanggi,,60.0,manggis,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR069,"Daun simpur, segar",KZGPI-1990,"86,2",53,,,,"1,6","0,9",228.0,194,"3,5",,,,,0,,3346,"0,02",,,5,100.0,S,False,daun simpur,,54.54545454545454,ikan mujair,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR070,"Daun singkil, segar",KZGPI-1990,"80,9",68,2.0,1.0,,"3,3","0,9",178.0,86,"2,1",,,,,,,6042,"0,02",,,3,70.0,S,False,daun singkil,,53.84615384615385,daging kambing,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR071,"Daun singkong, segar",KZGPI-1990,"84,4",50,,,,"2,4","1,2",166.0,99,"1,3",,,"0,1",2,0,3204,7052,"0,04","0,1","1,8",103,87.0,S,False,singkong daun,,76.19047619047619,singkong,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR072,"Daun singkong ambon, segar",DABM-1964,58,144,,,,"10,2","2,9",165.0,54,"3,9",,,"0,2","5,4",,8627,13000,"0,21",1,"4,2",220,87.0,S,False,singkong daun ambon,,59.25925925925925,singkong,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR073,"Daun singkong ampenan, segar",KZGMI-2001,"84,4",50,,,,"2,4","1,2",352.0,123,"2,7",49.0,570.0,"0,2","1,3",,7917,,"0,5","0,1","1,6",103,87.0,S,False,singkong daun ampenan,,55.172413793103445,singkong,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
DR074,"Daun singkong kopang, segar",KZGMI-2001,"81,1",74,,,,"4,6","1,2",142.0,115,"1,7",32.0,382.0,"0,2","1,5",,3882,,"0,5","0,5","1,9",211,87.0,S,False,singkong daun kopang,,57.89473684210527,ikan cakalang asin,low_score,,,,,,100.0,1 porsi,category_standard_vegetable,True
