food_code,food_name,SUMBER,AIR (g),energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,SERAT (g),ABU (g),calcium_mg_100g,FOSFOR (mg),BESI (mg),sodium_mg_100g,potassium_mg_100g,TEMBAGA (mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR-TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT C (mg),bdd_percent,category,is_olahan_code,food_name_normalized_tkpi,urt_match_normalized,match_score,best_candidate,match_status,urt_food_name,urt_gram,urt,food_name_normalized_urt,urt_gram_numeric,gram_per_portion,URT,match_type,is_usable_for_recommendation
AR020,"Jawawut, mentah",DABM-1964,11.9,364,9.7,3.5,73.4,8.2,1.5,28.0,311,5.3,7.0,255.1,0.28,0.33,4.5,33,0.45,-,-,1.5,100,,MP,False,jawawut,,50.0,babat,low_score,,,,,,,,unmatched,False
AR021,"Jampang huma, mentah",DABM-1964,11.7,350,6.2,1.4,78.2,1.7,2.5,329.0,254,5.3,53.0,396.7,1.6,0.30,0.51,33,0.70,-,-,0.7,0,100.0,G,False,jampang huma,,63.63636363636363,pisang mas,low_score,,,,,,,,unmatched,False
BR001,"Arrowroot, segar",KZGPI- 1990,"73,5",102,1.0,,,"1,7","1,2",28.0,35,"1,7",36.0,,"0,2","0,8",0,15,0,"0,06","0,1","2,3",2,100.0,MP,False,arrowroot,,46.15384615384615,sawo,low_score,,,,,,,,unmatched,False
BR002,"Batatas gembili, segar",KZGMI-2001,"76,7",76,,,16.0,"4,2","0,7",0.0,40,"0,2",10.0,200.0,"0,2","0,3",0,0,0,"0,06",0,"0,9",0,85.0,MP,False,batatas gembili,,50.0,mie basah,low_score,,,,,,,,unmatched,False
BR003,"Batatas kelapa, ubi, segar",KZGMI-2001,"76,1",89,,,21.0,4,"0,7",0.0,40,"0,2",20.0,340.0,"0,1","0,2",0,0,0,"0,38",0,"0,9",0,85.0,MP,False,batatas kelapa ubi,,55.172413793103445,gula kelapa,low_score,,,,,,,,unmatched,False
BR004,"Belitung, talas, segar",KZGPI- 1990,"63,1",145,,,,"1,5","1,1",26.0,54,"1,4",6.0,,"0,2","0,9",0,0,0,"0,1","0,1","2,3",2,85.0,MP,False,belitung talas,,59.45945945945945,nasi beras giling hitam,low_score,,,,,,,,unmatched,False
BR005,"Bengkuang, segar",DABM- 1964,"85,1",59,,,,1,"0,5",15.0,18,"0,6",2.0,,"0,1","0,3",,0,,"0,04","0,1","0,2",20,84.0,MP,False,bengkuang,,62.5,kentang,low_score,,,,,,,,unmatched,False
BR006,"Bentul (komba), talas, segar",KZGPI- 1990,"75,8",98,,,,"0,7","1,8",44.0,66,"1,5",,,"0,2","0,6",0,0,0,"0,02","0,1","0,8",0,86.0,MP,False,bentul komba talas,,48.275862068965516,apel malang,low_score,,,,,,,,unmatched,False
BR007,"Gadeng/Gadung, kering",KZGMI-2001,"20,2",322,,,,,"0,2",39.0,22,"2,2",5.0,2.0,"0,5","0,2",0,0,0,"0,45","0,02",1,0,100.0,MP,False,gadeng gadung,,54.54545454545454,gula aren,low_score,,,,,,,,unmatched,False
BR008,"Gadung, ubi, segar",KZGPI- 1990,"74,4",100,,,,"2,1","0,9",79.0,66,"0,9",8.0,,"0,2","0,2",0,0,0,"0,23",0,"0,5",2,85.0,MP,False,gadung ubi,,61.53846153846154,ubi jalar kuning,low_score,,,,,,,,unmatched,False
BR009,"Ganyong, segar",KZGPI- 1990,"79,9",77,,,,"0,8","0,9",15.0,67,1,,,,,0,0,0,"0,1",,,9,65.0,MP,False,ganyong,,53.333333333333336,singkong,low_score,,,,,,,,unmatched,False
BR010,"Gembili, ubi, segar",KZGPI- 1990,"66,4",131,,,,"1,1",1,14.0,56,"0,6",10.0,200.0,"0,2","0,3",0,0,0,"0,08",0,"0,9",4,85.0,MP,False,gembili ubi,,50.0,cumi cumi,low_score,,,,,,,,unmatched,False
BR011,"Hofa/ubi hutan, segar",KZGMI-2001,"67,9",127,,,,"3,4","0,9",30.0,8,"0,7",3.0,4.0,"0,1","0,2",0,0,0,"0,3","0,05","0,6",0,85.0,MP,False,hofa ubi hutan,,53.333333333333336,ubi jalar kuning,low_score,,,,,,,,unmatched,False
BR012,"Kaburan, ubi, segar",KZGPI- 1990,"66,5",133,1.0,,,"0,7","0,5",65.0,50,"0,6",10.0,,"0,2","0,2",0,0,0,"0,01",0,"0,3",0,81.0,MP,False,kaburan ubi,,54.54545454545454,ikan mujair,low_score,,,,,,,,unmatched,False
BR013,"Kentang, segar",KZGPI- 1990,"83,4",62,,,,"0,5","0,8",63.0,58,"0,7",7.0,396.0,"0,4","0,3",0,0,0,"0,09","0,1",1,21,85.0,MP,False,kentang,kentang,100.0,kentang,accepted_fuzzy,Kentang,210,2 Buah Sedang,kentang,210.0,210.0,2 Buah Sedang,normalized_urt,True
BR014,"Kentang hitam, segar",DABM- 1964,64,142,,,,"5,4",1,34.0,75,"0,2",22.0,,"0,9","0,6",,0,,"0,02","0,1","2,2",38,75.0,MP,False,kentang hitam,kentang hitam,100.0,kentang hitam,accepted_fuzzy,Kentang Hitam,125,12 Biji,kentang hitam,125.0,125.0,12 Biji,normalized_urt,True
BR015,"Keribang, ubi, segar",KZGPI- 1990,67,137,,,,"0,6","0,8",45.0,56,"0,8",10.0,,"0,2","0,3",0,0,0,0,0,"0,7",0,83.0,MP,False,keribang ubi,,66.66666666666667,kembang tahu,low_score,,,,,,,,unmatched,False
BR016,"Ketela pohon/ singkong, segar",KZGPI- 1990,"61,4",154,1.0,,,"0,9","0,5",77.0,24,"1,1",2.0,394.0,"0,3","0,4",0,0,0,"0,06","0,1","0,5",31,85.0,MP,False,ketela pohon singkong,,55.172413793103445,singkong,low_score,,,,,,,,unmatched,False
BR017,Lepok/ubi rumput,KZGMI-2001,"55,3",181,,,,"10,7","0,9",7.0,50,"3,1",116.0,306.0,"1,6","0,9",0,0,0,"0,28","0,05","1,5",0,85.0,MP,False,lepok ubi rumput,,50.0,pisang kepok,low_score,,,,,,,,unmatched,False
BR018,"Sagu aren, kering",KZGPI- 1990,"11,9",355,,,,"0,3","0,8",91.0,167,"2,2",2.0,200.0,0,"0,3",,,0,"0,04","0,1","0,5",0,100.0,MP,False,sagu aren,,77.77777777777779,gula aren,low_score,,,,,,,,unmatched,False
