food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed
DR035,"Daun katuk, segar",KZGPI-1990,81,59,"6,4",1,"9,9","1,5","1,7",233,98,"3,5","20,7","478,8","0,3","1,3",,9152,10020,0,"0,31","2,3",164,40,D,DR,S,Sayur,tkpi_main_group,"daun katuk, segar",daun katuk,daun katuk,1 gelas,100,False,False,False,False
DR036,"Daun kecipir, segar",DABM-1964,85,52,5,"0,5","8,5",,1,134,81,"6,2","5,8",114,"0,3","0,8",,3981,5240,"0,28","0,4","2,2",29,70,D,DR,S,Sayur,tkpi_main_group,"daun kecipir, segar",daun kecipir,daun kecipir,1 gelas,100,False,False,False,False
DR037,"Daun kedondong, segar",DABM-1964,81,59,"3,5","0,3","13,4","10,7","1,8",540,82,"6,2","12,1",579,,,,1624,2900,"0,06","0,2","1,5",29,65,D,DR,S,Sayur,tkpi_main_group,"daun kedondong, segar",daun kedondong,daun kedondong,1 gelas,100,False,False,False,False
DR038,"Daun kelor, segar",KZGMI-2001,"75,5",92,"5,1","1,6","14,3","8,2","3,5",1077,76,6,61,298,"0,1","0,6",,3266,,"0,3","0,1","4,2",22,65,D,DR,S,Sayur,tkpi_main_group,"daun kelor, segar",daun kelor,daun kelor,1 gelas,100,False,False,False,False
DR039,"Daun kemang, segar",DABM-1964,85,43,"5,5","0,3","7,5","8,4","1,7",35,106,1,"9,5","457,1",,,,1282,1017,"0,06","0,1","1,2",30,65,D,DR,S,Sayur,tkpi_main_group,"daun kemang, segar",daun kemang,daun kemang,1 gelas,100,False,False,False,False
DR040,"Daun kenikir, segar",BKP,"87,6",45,"3,7","0,5","6,6","5,8","1,7",328,65,"2,7","6,1",431,"0,1","0,6",,30200,12,"0,5","0,3","4,5",0,"36,3",D,DR,S,Sayur,tkpi_main_group,"daun kenikir, segar",daun kenikir,daun kenikir,1 gelas,100,False,False,False,False
DR041,"Daun kesum, segar",KZGPI-1990,"84,8",48,"4,5","0,8","9,1","1,6","0,8",125,142,"2,6","10,8","174,7","0,4","1,2",0,4216,8715,"0,01","0,1","1,6",4,53,D,DR,S,Sayur,tkpi_main_group,"daun kesum, segar",daun kesum,daun kesum,1 gelas,100,False,False,False,False
DR042,"Daun kol sawi, segar",KZGPI-1990,"93,1",22,"2,1","0,5","3,6","0,9","0,7",200,92,"3,2","19,4","386,2","0,1","0,2",0,1806,2177,"0,03","0,2","0,6",3,87,D,DR,S,Sayur,tkpi_main_group,"daun kol sawi, segar",daun kol sawi,daun kol sawi,1 gelas,100,False,False,False,False
DR043,"Daun koro, segar",DABM-1964,91,23,3,"0,3","3,7",,2,134,81,"6,2","3,5","68,4","0,2","0,5",,2386,5240,"0,28","0,2","1,3",29,65,D,DR,S,Sayur,tkpi_main_group,"daun koro, segar",daun koro,daun koro,1 gelas,100,False,False,False,False
DR044,"Daun kubis, segar",KZGMI-2001,"86,2",51,"2,5","1,1",8,"3,4","2,2",100,50,"3,4",50,100,"0,9","0,6",,9999,,"0,4","0,1","0,2",16,75,D,DR,S,Sayur,tkpi_main_group,"daun kubis, segar",daun kubis,daun kubis,1 gelas,100,False,False,False,False
