food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed
CP037,Kembang tahu,KZGPI- 1990,"10,8",380,"48,9","13,8","23,3",0,"3,2",378,781,"2,1",55,"455,3","0,68","4,2",,0,,"0,15","0,08","0,7",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,kembang tahu,kembang tahu,kembang tahu,1 Lembar,20,True,True,True,False
CP051,Oncom,DABM-1964,57,187,13,6,"22,6",,"1,4",96,115,27,,,,,0,,,"0,09",0,"1,6",0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,oncom,oncom,oncom,2 Potong Besar,50,True,True,True,False
CP061,"Tahu, mentah",KZGPI- 1990,"82,2",80,"10,9","4,7","0,8","0,1","1,4",223,183,"3,4",2,"50,6","0,19","0,8",,118,,"0,01","0,08","0,1",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tahu, mentah",tahu,tahu,2 Potong Sedang,100,True,True,True,False
CP077,"Tempe kedelai, mentah",KZGPI- 1990,"55,3",201,"20,8","8,8","13,5","1,4","1,6",155,326,4,9,234,"0,57","1,7",,0,,"0,19","0,59","4,9",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tempe kedelai, mentah",tempe kedelai,tempe kedelai,2 potong sedang,50,True,True,True,False
DR001,"Akar tonjong, segar",KZGPI-1990,"86,7",45,"1,1","0,4","10,8","1,2",1,72,125,"1,3","96,4","1147,1","0,02","0,2",0,83,90,"0,02","0,03","1,9",2,100,D,DR,S,Sayur,tkpi_main_group,"akar tonjong, segar",akar tonjong,akar tonjong,1 gelas,100,False,False,False,False
DR002,"Ale,toge, segar",KZGPI-1990,"90,6",37,"4,4","0,5","3,8","1,7","0,7",50,248,2,"2,3",105,"0,16","0,4",0,0,35,"0,02","0,09","0,6",46,90,D,DR,S,Sayur,tkpi_main_group,"ale,toge, segar","ale,toge","ale,toge",1 gelas,100,False,False,False,False
DR003,"Andaliman, segar",KZGPI-1990,"74,2",99,"4,6",1,18,"8,5","2,2",383,107,"2,9",,,,,0,,6300,3,,,15,100,D,DR,S,Sayur,tkpi_main_group,"andaliman, segar",andaliman,andaliman,1 gelas,100,False,False,False,False
DR004,"Andewi, segar",DABM-1964,"91,8",226,"1,6","0,2","5,3","4,1","1,1",33,66,1,29,"414,6","0,13",1,,1717,,"0,14","0,09","0,5",10,80,D,DR,S,Sayur,tkpi_main_group,"andewi, segar",andewi,andewi,1 gelas,100,False,False,False,False
DR005,"Bakung, segar",KZGMI-2001,"92,5",27,2,"0,2","4,2","3,8","1,1",19,20,"0,5",37,340,"0,2","0,3",,1080,,"0,2","0,1","0,3",42,100,D,DR,S,Sayur,tkpi_main_group,"bakung, segar",bakung,bakung,1 gelas,100,False,False,False,False
DR006,"Baligo, segar",DABM-1964,"96,1",15,"0,4","0,2",3,"0,4","0,3",19,19,"0,4","1,7","131,1","0,02","0,6",,0,,"0,04","0,02","0,3",13,69,D,DR,S,Sayur,tkpi_main_group,"baligo, segar",baligo,baligo,1 gelas,100,False,False,False,False
