food_code,food_name,SUMBER,AIR (g),energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,SERAT (g),ABU (g),calcium_mg_100g,FOSFOR (mg),BESI (mg),sodium_mg_100g,potassium_mg_100g,TEMBAGA (mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR-TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT C (mg),bdd_percent,category_code,is_processed_code,keep_this_food,food_name_normalized,urt_food_name,urt_gram,urt,urt_gram_numeric,_merge,gram_per_portion,URT,match_type,is_usable_for_recommendation,energy_kcal_per_portion,protein_g_per_portion,fat_g_per_portion,carb_g_per_portion,gram_per_portion_urt,portion_source
DR004,"andewi, segar",DABM-1964,"91,8",226,1.6,0.2,5.3,"4,1","1,1",33,66,1,29,"414,6","0,13",1,,1717,,"0,14","0,09","0,5",10,80,S,False,True,andewi,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,226.0,1.6,0.2,5.3,100.0,URT
DR005,"bakung, segar",KZGMI-2001,"92,5",27,2.0,0.2,4.2,"3,8","1,1",19,20,"0,5",37,340,"0,2","0,3",,1080,,"0,2","0,1","0,3",42,100,S,False,True,bakung,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,27.0,2.0,0.2,4.2,100.0,URT
DR006,"baligo, segar",DABM-1964,"96,1",15,0.4,0.2,3.0,"0,4","0,3",19,19,"0,4","1,7","131,1","0,02","0,6",,0,,"0,04","0,02","0,3",13,69,S,False,True,baligo,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,15.0,0.4,0.2,3.0,100.0,URT
DR007,"bawang bombay, segar",DABM-1964,"87,5",43,1.4,0.2,10.3,2,"0,6",32,44,"0,5","12,2","9,6","0,1","0,3",,788,50,"0,03","0,21","0,4",9,94,S,False,True,bawang bombay,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,43.0,1.4,0.2,10.3,100.0,URT
DR008,"bayam, segar",KZGPI-1990,"94,5",16,0.9,0.4,2.9,"0,7","1,3",166,76,"3,5","15,8","456,4","0,13","0,4",,2699,2293,"0,04","0,1",1,41,71,S,False,True,bayam,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,16.0,0.9,0.4,2.9,100.0,URT
DR009,"bayam merah, segar",KZGMI-2001,"88,5",41,2.2,0.8,6.3,"2,2","2,2",520,80,7,20,60,"0,2","0,8",0,7325,,"0,2","0,1","0,1",62,71,S,False,True,bayam merah,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,41.0,2.2,0.8,6.3,100.0,URT
DR010,"bit, segar",DABM-1964,"87,6",41,1.6,0.1,9.6,"2,6","1,1",27,43,1,"28,5","404,9","0,2","0,7",,0,20,"0,02","0,05","0,3",10,75,S,False,True,bit,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,41.0,1.6,0.1,9.6,100.0,URT
DR011,buah kelor,KZGMI-2001,"89,5",38,1.5,0.2,7.5,"3,2","1,3",30,54,0,48,216,0,"0,2",,31,,"0,1","0,1","4,1",25,65,S,False,True,buah kelor,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,38.0,1.5,0.2,7.5,100.0,URT
DR012,buah merah,KZGMI-2001,"81,2",87,2.6,2.7,13.1,4,"0,4",30,1,"1,1",110,140,"0,1","0,3",0,0,,"1,5","0,1","0,2",15,100,S,False,True,buah merah,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,87.0,2.6,2.7,13.1,100.0,URT
DR013,"buncis, segar",KZGPI-1990,"89,6",34,2.4,0.3,7.2,"1,9","0,5",101,42,"0,7",8,250,"0,07","0,3",0,772,550,"0,05","0,4","2,8",11,90,S,False,True,buncis,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,34.0,2.4,0.3,7.2,100.0,URT
DR014,"bunga pepaya, segar",KZGPI-1990,"87,3",45,2.6,0.3,8.1,"1,6","1,7",290,113,"4,2","2,3","478,3","0,08","0,8",,2792,5,"0,01","0,28",1,23,100,S,False,True,bunga pepaya,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,45.0,2.6,0.3,8.1,100.0,URT
DR015,"bunga turi, segar",BKP,"90,4",42,2.0,1.1,6.1,"3,3","0,4",28,23,"0,8","28,6","97,4","0,1","0,6",,1200,0,"0,5","0,02","0,4",1,"96,1",S,False,True,bunga turi,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,42.0,2.0,1.1,6.1,100.0,URT
DR016,"caisin, segar",KZGPI-1990,"93,6",20,1.7,0.4,3.4,"1,2","0,9",123,40,"1,9",18,"358,2","0,05","1,4",,1675,4188,"0,04","0,19","0,6",3,100,S,False,True,caisin,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,20.0,1.7,0.4,3.4,100.0,URT
DR017,"daun bangun- bangun, segar",KZGPI-1990,"92,5",27,1.3,0.6,4.0,1,"1,6",279,40,"13,6","3,6",144,,,,1489,13288,"0,16","0,1",0,5,66,S,False,True,daun bangun bangun,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,27.0,1.3,0.6,4.0,100.0,URT
DR018,"daun bawang merah, segar",KZGMI-2001,"89,1",41,2.0,0.3,7.8,"2,1","0,8",60,40,"2,3",30,90,"0,1","0,3",0,218,,"0,1","0,1","0,2",11,67,S,False,True,daun bawang merah,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,41.0,2.0,0.3,7.8,100.0,URT
DR019,"daun bebuas, segar",KZGPI-1990,"87,9",41,2.7,1.0,7.3,"2,1","1,1",29,245,"1,5",,,,,0,,3099,"0,01",,,3,49,S,False,True,daun bebuas,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,41.0,2.7,1.0,7.3,100.0,URT
DR020,"daun belem, segar",KZGPI-1990,"84,6",50,4.4,1.4,7.8,"1,9","1,8",698,151,"7,5",,,,,0,,13072,"0,05",,,21,81,S,False,True,daun belem,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,50.0,4.4,1.4,7.8,100.0,URT
DR021,"daun bluntas, segar",DABM-1964,86,44,1.8,0.5,9.4,,"2,3",256,49,"5,6",,,,,,,3980,"0,02",,,30,65,S,False,True,daun bluntas,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,44.0,1.8,0.5,9.4,100.0,URT
DR022,"daun gandaria, segar",DABM-1964,81,63,3.1,0.3,14.0,"2,1","1,6",40,45,"4,7",3,"127,7",,,,503,600,"0,04","0,04","0,2",61,65,S,False,True,daun gandaria,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,63.0,3.1,0.3,14.0,100.0,URT
DR023,"daun gedi besar, segar",KZGMI-2001,84,58,2.9,0.7,10.0,"3,3","2,4",440,100,"1,9",30,40,"0,2","2,1",,596,,"0,4","0,5","2,8",11,65,S,False,True,daun gedi besar,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,58.0,2.9,0.7,10.0,100.0,URT
DR024,"daun gedi kecil, segar",KZGMI-2001,"83,7",61,3.2,0.7,10.4,"3,4",2,420,70,"1,7",20,50,"0,1","1,4",,607,,"0,4","0,3","2,9",11,65,S,False,True,daun gedi kecil,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,61.0,3.2,0.7,10.4,100.0,URT
DR025,"daun gelang, segar",KZGPI-1990,"90,3",30,1.3,0.7,5.8,"1,3","1,9",350,210,"11,9","4,7","333,3","0,31","1,2",0,4701,1954,"0,01","0,14","0,7",1,52,S,False,True,daun gelang,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,30.0,1.3,0.7,5.8,100.0,URT
DR026,"daun gunda bali, segar",KZGPI-1990,"86,4",50,4.6,0.9,7.0,"1,4","1,1",167,62,"0,5",,,,,0,,6571,"0,05",,,20,49,S,False,True,daun gunda bali,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,50.0,4.6,0.9,7.0,100.0,URT
DR027,"daun gunda serang, segar",KZGPI-1990,"84,6",62,4.2,0.9,9.2,"1,3","1,1",171,64,"0,6",,,,,0,,7347,"0,02",,,20,47,S,False,True,daun gunda serang,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,62.0,4.2,0.9,9.2,100.0,URT
DR030,"daun jawaw seluang, segar",KZGMI-2001,"77,2",93,5.0,1.3,15.3,"3,9","1,2",146,103,"5,3",2,434,"0,5","1,5",,,,"0,1","0,7",,9,,S,False,True,daun jawaw seluang,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,93.0,5.0,1.3,15.3,100.0,URT
DR031,"daun jonghe, segar",KZGPI-1990,"91,4",27,2.1,0.7,4.4,2,"1,4",253,192,"9,5",,,,,0,,5057,"0,01",,,1,45,S,False,True,daun jonghe,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,27.0,2.1,0.7,4.4,100.0,URT
DR032,"daun kacang ma, segar",KZGPI-1990,"89,1",36,2.9,0.6,6.8,"1,8","0,6",64,220,"2,2",7,"485,3","0,2","0,3",,2893,4377,"0,04","0,18","1,2",4,33,S,False,True,daun kacang ma,,,,,left_only,100.0,1 porsi,category_standard_vegetable,True,36.0,2.9,0.6,6.8,100.0,URT
