food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed,energy_kcal_per_portion,protein_g_per_portion,fat_g_per_portion,carb_g_per_portion,sodium_mg_per_portion,potassium_mg_per_portion,calcium_mg_per_portion,fiber_g_per_portion,is_excluded_keyword,is_menu_ready,variety_key,day,selected_portions,selected_gram
GR001,"Belut, segar",KZGMI-2001,"81,5",70,14.6,0.8,1.0,0.0,"2,1",49,155,"1,5",55.0,169.0,"0,2","1,2",,0,,"0,22","0,12","7,7",,,G,GR,LH,Lauk Hewani,tkpi_main_group,"belut, segar",belut,belut,3 ekor,3.0,ekor,45.0,False,True,False,False,31.5,6.57,0.36,0.45,24.75,76.05,22.05,0.0,False,True,"LH_belut, segar",1,1.5,67.5
KR009,Minyak kacang tanah,DABM-1964,0,902,0.0,100.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,,0,0,0,0.0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kacang tanah,minyak kacang tanah,minyak kacang tanah,1 sendok teh,1.0,sendok teh,5.0,False,True,False,False,45.1,0.0,5.0,0.0,0.0,0.0,0.0,0.0,False,True,M_minyak kacang tanah,1,2.0,10.0
KR011,Minyak kelapa,DABM-1964,0,870,1.0,98.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0,0.0,0,,0,0,0,0.0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kelapa,minyak kelapa,minyak kelapa,1 sendok teh,1.0,sendok teh,5.0,False,True,False,False,43.5,0.05,4.9,0.0,0.0,0.0,0.0,0.0,False,True,M_minyak kelapa,1,1.0,5.0
AP020,"Makaroni, mentah",DABM-1964,11.7,353,8.7,0.4,78.7,4.9,2.5,20,80,0.3,5.0,0.0,0.28,1.4,0.0,-,-,0.10,0.13,2.2,0.0,100,A,AP,MP,Makanan Pokok,tkpi_main_group,"makaroni, mentah",makaroni,makaroni,1½ Gelas,1.5,Gelas,50.0,True,True,True,False,176.5,4.35,0.2,39.35,2.5,0.0,10.0,2.45,False,True,MP_makaroni,2,2.0,100.0
AP029,Biskuit,DABM-1964,2.2,458,6.9,14.4,75.1,2.1,1.4,62,87,2.7,20.3,241.0,0.16,0.6,14.0,0,-,0.15,0.09,1.4,100.0,0,A,AP,MP,Makanan Pokok,tkpi_main_group,biskuit,biskuit,biskuit,4 Buah Besar,4.0,Buah Besar,40.0,True,True,False,False,183.2,2.76,5.76,30.04,8.12,96.4,24.8,0.84,False,True,MP_biskuit,2,2.0,80.0
CP061,"Tahu, mentah",KZGPI- 1990,"82,2",80,10.9,4.7,0.8,0.1,"1,4",223,183,"3,4",2.0,50.6,"0,19","0,8",,118,,"0,01","0,08","0,1",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tahu, mentah",tahu,tahu,2 Potong Sedang,2.0,Potong Sedang,100.0,True,True,True,False,80.0,10.9,4.7,0.8,2.0,50.6,223.0,0.1,False,True,"LN_tahu, mentah",2,1.5,150.0
CP077,"Tempe kedelai, mentah",KZGPI- 1990,"55,3",201,20.8,8.8,13.5,1.4,"1,6",155,326,4,9.0,234.0,"0,57","1,7",,0,,"0,19","0,59","4,9",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tempe kedelai, mentah",tempe kedelai,tempe kedelai,2 potong sedang,2.0,potong sedang,50.0,True,True,True,False,100.5,10.4,4.4,6.75,4.5,117.0,77.5,0.7,False,True,"LN_tempe kedelai, mentah",2,1.5,75.0
DR037,"Daun kedondong, segar",DABM-1964,81,59,3.5,0.3,13.4,10.7,"1,8",540,82,"6,2",12.1,579.0,,,,1624,2900,"0,06","0,2","1,5",29.0,65,D,DR,S,Sayur,tkpi_main_group,"daun kedondong, segar",daun kedondong,daun kedondong,1 gelas,1.0,gelas,100.0,False,False,False,False,59.0,3.5,0.3,13.4,12.1,579.0,540.0,10.7,False,True,"S_daun kedondong, segar",2,0.5,50.0
DR055,"Daun melinjo, segar",DABM-1964,"70,8",104,5.0,1.3,21.3,10.3,"1,6",219,82,"4,2",12.2,604.8,"0,4","0,6",,823,10000,"0,09",,,182.0,88,D,DR,S,Sayur,tkpi_main_group,"daun melinjo, segar",daun melinjo,daun melinjo,1 gelas,1.0,gelas,100.0,False,False,False,False,104.0,5.0,1.3,21.3,12.2,604.8,219.0,10.3,False,True,S_daun_melinjo,2,0.5,50.0
DR112,"Komak, segar",KZGMI-2001,"74,3",99,3.3,0.1,21.2,10.3,"1,1",50,99,"13,1",15.0,567.0,"0,2","0,6",,5,,"0,2","0,19","0,1",,80,D,DR,S,Sayur,tkpi_main_group,"komak, segar",komak,komak,1 gelas,1.0,gelas,100.0,False,False,False,False,99.0,3.3,0.1,21.2,15.0,567.0,50.0,10.3,False,True,"S_komak, segar",2,2.0,200.0
