food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed
BR024,"Suweg, talas, segar",KZGPI- 1990,"80,1",74,"1,4","0,1","17,2","1,4","1,2",42,46,"1,3",7,400,"0,1","0,1",0,24,254,"0,04",0,"0,4",2,86,B,BR,MP,Makanan Pokok,tkpi_main_group,"suweg, talas, segar","suweg, talas","suweg, talas",,,,,False,False,False,False
BR025,"Talas bogor, segar",KZGPI- 1990,"72,4",108,"1,4","0,4",25,"0,9","0,8",47,67,"0,7",10,448,"0,2","0,7",0,0,0,"0,06","0,07",1,4,85,B,BR,MP,Makanan Pokok,tkpi_main_group,"talas bogor, segar",talas bogor,talas bogor,,,,,False,False,False,False
BR026,"Talas pontianak, segar",KZGPI- 1990,60,163,"2,3","0,5","36,4","0,7","0,9",45,80,"1,7",14,"323,1","0,3",1,0,0,0,"0,02","0,1","1,3",,83,B,BR,MP,Makanan Pokok,tkpi_main_group,"talas pontianak, segar",talas pontianak,talas pontianak,,,,,False,False,False,False
BR027,"Talas viqueque, segar",KZGMI-2001,"70,6",115,"1,8","0,5","25,9","8,6","1,2",50,220,"0,9",1,70,"0,3",1,0,0,0,"0,08","0,1","0,9",,85,B,BR,MP,Makanan Pokok,tkpi_main_group,"talas viqueque, segar",talas viqueque,talas viqueque,,,,,False,False,False,False
BR028,"Ubi jalar, kuning, segar",KZGMI-2001,"72,6",119,"0,5","0,4","25,1","4,2",1,30,40,"0,4",3,1,"0,1","0,2",0,794,4948,"0,06","0,07","0,7",21,85,B,BR,MP,Makanan Pokok,tkpi_main_group,"ubi jalar, kuning, segar","ubi jalar, kuning","ubi jalar, kuning",,,,,False,False,False,False
BR029,"Ubi jalar manis, segar",KZGPI- 1990,"78,4",83,"1,5","0,2","18,8","0,6","1,1",27,162,"2,1",52,"320,7","0,1","0,3",0,0,0,"0,02",0,"0,4",0,85,B,BR,MP,Makanan Pokok,tkpi_main_group,"ubi jalar manis, segar",ubi jalar manis,ubi jalar manis,,,,,False,False,False,False
BR030,"Ubi jalar merah, segar",KZGPI- 1990,"61,9",151,"1,6","0,3","35,4","0,7","0,6",29,74,"0,7",92,"565,6","0,3","0,5",0,0,1208,"0,13","0,08","0,7",11,86,B,BR,MP,Makanan Pokok,tkpi_main_group,"ubi jalar merah, segar",ubi jalar merah,ubi jalar merah,,,,,False,False,False,False
BR031,"Ubi jalar putih, segar",KZGMI-2001,"77,8",88,"0,4","0,4","20,6",4,"0,8",30,10,"0,5",2,4,"0,1","0,2",0,13,264,"0,25","0,06","0,5",36,86,B,BR,MP,Makanan Pokok,tkpi_main_group,"ubi jalar putih, segar",ubi jalar putih,ubi jalar putih,,,,,False,False,False,False
BR032,Ubi jalar tinta/ kemayung,KZGMI-2001,"72,5",108,"0,5","0,4","25,6","4,2",1,30,40,"0,5",1,1,"0,1","0,2",0,13,0,"0,09","0,06","0,6",24,85,B,BR,MP,Makanan Pokok,tkpi_main_group,ubi jalar tinta/ kemayung,ubi jalar tinta kemayung,ubi jalar tinta kemayung,,,,,False,False,False,False
BR033,"Umbi Uwi, segar",BKP,"69,7",120,"2,8","0,5","82,3","2,6","0,9",9,42,"1,3",12,412,"0,3","0,6",,0,0,"0,02","0,5","0,2",4,86,B,BR,MP,Makanan Pokok,tkpi_main_group,"umbi uwi, segar",umbi uwi,umbi uwi,,,,,False,False,False,False
BP064,Tepung arrowroot,DABM- 1964,"13,6",355,"0,7","0,2","85,2","0,4","0,3",8,22,"1,5",2,"10,7",0,"0,1",,20,3,"0,09",0,0,0,100,B,BP,MP,Makanan Pokok,tkpi_main_group,tepung arrowroot,tepung arrowroot,tepung arrowroot,,,,,True,False,True,False
BP065,Tepung ganyong,BKP,"13,6",353,"0,8","1,7","83,6","0,7","0,3",4,31,"3,3",3,"63,5","0,1","0,3",,0,0,"0,02",0,"0,9",1,100,B,BP,MP,Makanan Pokok,tkpi_main_group,tepung ganyong,tepung ganyong,tepung ganyong,,,,,True,False,True,False
