food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,food_name_std
GP057,"Bouiki ninahu nggaluku, masakan",KZGMI-2001,"73,9",94,"7,8","2,2","10,8",,"5,3",,,,58,"179,4",,"1,5",,,,"0,5","0,03","2,4",,,G,GP,LH,Lauk Hewani,tkpi_main_group,"bouiki ninahu nggaluku, masakan",bouiki ninahu nggaluku,bouiki ninahu nggaluku,,,,,"bouiki ninahu nggaluku, masakan"
GP058,Cakalang asar (asap),KZGMI-2001,"64,3",155,"20,1","3,8","10,2",,"1,6",20,240,"2,1",90,390,"0,3","0,1",86,,,,"0,7","0,2",,,G,GP,LH,Lauk Hewani,tkpi_main_group,cakalang asar (asap),cakalang asar (asap),cakalang asar (asap),,,,,cakalang asar (asap)
GP059,"Dendeng belut, goreng, masakan",KZGPI- 1990,"8,2",382,"55,7","14,1",8,0,14,1069,654,"15,4",,,,,28,,1.480,"0,48",,,0,,G,GP,LH,Lauk Hewani,tkpi_main_group,"dendeng belut, goreng, masakan","dendeng belut, goreng","dendeng belut, goreng",,,,,"dendeng belut, goreng, masakan"
GP060,"Dendeng mujahir, goreng, masakan",KZGPI- 1990,"6,5",598,"74,3","26,9","9,2",0,"13,1",1957,1447,"7,4",,,,,18,,25,"0,19",,,0,,G,GP,LH,Lauk Hewani,tkpi_main_group,"dendeng mujahir, goreng, masakan","dendeng mujahir, goreng","dendeng mujahir, goreng",,,,,"dendeng mujahir, goreng, masakan"
GP061,Fillet o-fish,KZGMS-1993,51,270,"12,3","15,9","19,3","0,2","1,5",239,272,"1,8",439,,,,34,,580,"0,59",,,0,,G,GP,LH,Lauk Hewani,tkpi_main_group,fillet o-fish,fillet o-fish,fillet o-fish,,,,,fillet o-fish
GP062,"Gete kuah asam, masakan",KZGMI-2001,"80,1",75,"8,2",2,6,,"3,8",1620,880,"0,8",260,150,"0,1","1,5",,,,,,"0,1",,,G,GP,LH,Lauk Hewani,tkpi_main_group,"gete kuah asam, masakan",gete kuah asam,gete kuah asam,,,,,"gete kuah asam, masakan"
GP063,"Gulai asam keueung, masakan",KZGMI-2001,86,52,10,"0,5","1,8",,"1,7",62,102,"0,3",332,141,0,1,,,,"0,18","0,34",,,,G,GP,G,Gula,keyword_rule,"gulai asam keueung, masakan",gulai asam keueung,gulai asam keueung,,,,,"gulai asam keueung, masakan"
GP065,"Gulai ikan, masakan",KZGMS-1993,"75,7",106,"16,5","3,3","2,5",,2,306,196,"4,8",743,,,,86,,2760,"0,32",,,0,,G,GP,G,Gula,keyword_rule,"gulai ikan, masakan",gulai ikan,gulai ikan,,,,,"gulai ikan, masakan"
GP064,"Gulai ikan paya, masakan",KZGMI-2001,"72,1",148,10,"9,8",5,,"3,1",103,82,"0,7",525,256,"0,1","0,9",,,,"0,26","0,02",,,,G,GP,G,Gula,keyword_rule,"gulai ikan paya, masakan",gulai ikan paya,gulai ikan paya,,,,,"gulai ikan paya, masakan"
GP066,"Gulai keumamah, masakan",KGZMI-2001,"81,4",110,"5,9","8,2","3,2",,"1,3",32,96,1,335,121,"0,2","0,9",,,,"0,33","0,04",,,100,G,GP,G,Gula,keyword_rule,"gulai keumamah, masakan",gulai keumamah,gulai keumamah,,,,,"gulai keumamah, masakan"
GP067,"Gulai tiram, masakan",KZGMI-2001,"73,1",132,9,"7,2","7,8",,"2,9",53,134,"3,7",285,133,"1,1","0,7",389,,,"0,29","0,12",,,,G,GP,G,Gula,keyword_rule,"gulai tiram, masakan",gulai tiram,gulai tiram,,,,,"gulai tiram, masakan"
GP068,"Gurame asem manis, masakan",KZGPI- 1990,"63,1",192,"12,7","10,1","12,7",0,"2,4",283,169,"1,1",,,,,19,,1440,"0,1",,,0,,G,GP,LH,Lauk Hewani,tkpi_main_group,"gurame asem manis, masakan",gurame asem manis,gurame asem manis,,,,,"gurame asem manis, masakan"
GP069,"Ikan asar merah, masakan",KZGMI-2001,"69,2",146,"17,7","5,9","5,6",,"1,6",100,240,4,170,310,"0,3","1,4",224,0,,,,,,,G,GP,LH,Lauk Hewani,tkpi_main_group,"ikan asar merah, masakan",ikan asar merah,ikan asar merah,,,,,"ikan asar merah, masakan"
GP070,"Jambal goreng, masakan",KZGMS-1993,"13,4",286,"48,5","9,2","2,3",,"26,6",207,457,"3,3",,,,,109,,160,"0,4",,"3,1",0,,G,GP,G,Gula,keyword_rule,"jambal goreng, masakan",jambal goreng,jambal goreng,,,,,"jambal goreng, masakan"
GP071,"Jukku pallu kaloa, masakan",KZGMI-2001,"69,4",15,"15,2","4,3","8,8",,"2,3",40,170,"1,1",605,153,"0,6","1,1",,,,"0,3","0,14","7,5",,,G,GP,LH,Lauk Hewani,tkpi_main_group,"jukku pallu kaloa, masakan",jukku pallu kaloa,jukku pallu kaloa,,,,,"jukku pallu kaloa, masakan"
GP072,"Kaholeo, masakan",KZGMI-2001,"11,2",413,"28,7","19,8","29,8",,"10,5",909,1291,0,0,1171,"0,1","3,1",4236,,,"1,34","0,03","5,7",,,G,GP,LH,Lauk Hewani,tkpi_main_group,"kaholeo, masakan",kaholeo,kaholeo,,,,,"kaholeo, masakan"
GP073,Lawara penjah,KZGMI-2001,"64,5",207,"7,4","15,4","9,6",,"2,9",114,219,"5,9",683,117,"0,5","0,7",0,38,,"0,19","0,04",,14,100,G,GP,LH,Lauk Hewani,tkpi_main_group,lawara penjah,lawara penjah,lawara penjah,,,,,lawara penjah
GP074,"Model, masakan",KZGMI-2001,"83,9",79,"2,2",4,"8,6",,"1,3",8,33,"0,8",147,34,"0,1","0,5",,,,"0,16","0,02",,,,G,GP,LH,Lauk Hewani,tkpi_main_group,"model, masakan",model,model,,,,,"model, masakan"
GP075,"Mujahir acar kuning, masakan",KZGPI- 1990,"43,1",330,"17,8","23,4","12,1","1,1","4,6",154,357,"5,3",,,,,24,,4130,"0,15",,,0,,G,GP,LH,Lauk Hewani,tkpi_main_group,"mujahir acar kuning, masakan",mujahir acar kuning,mujahir acar kuning,,,,,"mujahir acar kuning, masakan"
GP076,"Parede baleh, masakan",KZGMI-2001,80,87,"10,5","2,5","5,5",,"1,5",35,215,"0,9",416,59,"0,1","0,2",,,,"0,24",0,"0,7",,,G,GP,LH,Lauk Hewani,tkpi_main_group,"parede baleh, masakan",parede baleh,parede baleh,,,,,"parede baleh, masakan"
GP077,"Pempek adaan, masakan",KZGMI-2001,"62,6",162,"4,9",3,"27,8",,"1,7",26,116,1,488,119,"0,1","0,2",,,,"0,3","0,03",1,,,G,GP,LH,Lauk Hewani,tkpi_main_group,"pempek adaan, masakan",pempek adaan,pempek adaan,,,,,"pempek adaan, masakan"
GP078,"Pempek belida, masakan",KZGPI- 1990,"61,4",156,"4,2","1,4","31,6","0,2","1,4",100,55,"3,3",,,,,0,,0,"0,03",,,0,,G,GP,LH,Lauk Hewani,tkpi_main_group,"pempek belida, masakan",pempek belida,pempek belida,,,,,"pempek belida, masakan"
GP079,"Pempek kapal selam, masakan",KZGMI-2001,"63,4",152,"4,5","2,3","28,2",,"1,6",19,115,"1,6",628,91,"0,1","0,2",,,,"0,2","0,03",1,,,G,GP,LH,Lauk Hewani,tkpi_main_group,"pempek kapal selam, masakan",pempek kapal selam,pempek kapal selam,,,,,"pempek kapal selam, masakan"
GP080,"Pempek kelesan, masakan",KZGPI- 1990,53,211,"12,3","6,1","26,6","0,4",2,840,176,"1,8",,,,,14,,888,"0,25",,,0,,G,GP,LH,Lauk Hewani,tkpi_main_group,"pempek kelesan, masakan",pempek kelesan,pempek kelesan,,,,,"pempek kelesan, masakan"
GP081,"Pempek kulit, masakan",KZGMI-2001,"45,7",243,"5,2","7,3","39,1",,"2,7",16,96,2,555,102,"0,1","0,6",,,,"0,2","0,02","0,9",,,G,GP,LH,Lauk Hewani,tkpi_main_group,"pempek kulit, masakan",pempek kulit,pempek kulit,,,,,"pempek kulit, masakan"
