food_name,weight_gram,urt,category_code,category_name,urt_qty,urt_unit,urt_food_name_clean,urt_food_name_match
Daging asap,20,1 lembar,LH,Lauk Hewani,1.0,lembar,daging asap,daging asap
Daging ayam,40,1 potong sedang,LH,Lauk Hewani,1.0,potong sedang,daging ayam,daging ayam
Daging kerbau,35,1 potong sedang,LH,Lauk Hewani,1.0,potong sedang,daging kerbau,daging kerbau
Dendeng sapi,15,1 potong sedang,LH,Lauk Hewani,1.0,potong sedang,dendeng sapi,dendeng sapi
Gabus kering,10,1 ekor kecil,LH,Lauk Hewani,1.0,ekor kecil,gabus kering,gabus kering
Hati sapi,50,1 potong sedang,LH,Lauk Hewani,1.0,potong sedang,hati sapi,hati sapi
Ikan asin kering,15,1 potong sedang,LH,Lauk Hewani,1.0,potong sedang,ikan asin kering,ikan asin kering
Ikan kakap,35,1/3 ekor besar,LH,Lauk Hewani,0.3333333333333333,ekor besar,ikan kakap,ikan kakap
Ikan kembung,30,1/3 ekor sedang,LH,Lauk Hewani,0.3333333333333333,ekor sedang,ikan kembung,ikan kembung
Ikan lele,40,1/3 ekor sedang,LH,Lauk Hewani,0.3333333333333333,ekor sedang,ikan lele,ikan lele
Ikan mas,45,1/3 ekor sedang,LH,Lauk Hewani,0.3333333333333333,ekor sedang,ikan mas,ikan mas
Ikan mujair,30,1/3 ekor sedang,LH,Lauk Hewani,0.3333333333333333,ekor sedang,ikan mujair,ikan mujair
Ikan peda,35,1 ekor kecil,LH,Lauk Hewani,1.0,ekor kecil,ikan peda,ikan peda
Ikan pindang,25,1/2 ekor sedang,LH,Lauk Hewani,0.5,ekor sedang,ikan pindang,ikan pindang
Ikan segar,40,1 potong sedang,LH,Lauk Hewani,1.0,potong sedang,ikan segar,ikan segar
Ikan teri kering,20,1 sendok makan,LH,Lauk Hewani,1.0,sendok makan,ikan teri kering,ikan teri kering
Ikan cakalang asin,20,1 potong sedang,LH,Lauk Hewani,1.0,potong sedang,ikan cakalang asin,ikan cakalang asin
Kerang,90,1/2 gelas,LH,Lauk Hewani,0.5,gelas,kerang,kerang
Ikan lemuru,35,1 potong sedang,LH,Lauk Hewani,1.0,potong sedang,ikan lemuru,ikan lemuru
Putih telur ayam,65,2½ butir,LH,Lauk Hewani,2.5,butir,putih telur ayam,putih telur ayam
Rebon kering,10,2 sendok makan,LH,Lauk Hewani,2.0,sendok makan,rebon kering,rebon kering
Rebon basah,45,2 sendok makan,LH,Lauk Hewani,2.0,sendok makan,rebon basah,rebon basah
Selar kering,20,1 ekor,LH,Lauk Hewani,1.0,ekor,selar kering,selar kering
Sepat kering,20,1 potong sedang,LH,Lauk Hewani,1.0,potong sedang,sepat kering,sepat kering
Teri nasi,20,1/3 gelas,LH,Lauk Hewani,0.3333333333333333,gelas,teri nasi,teri nasi
Udang segar,35,5 ekor sedang,LH,Lauk Hewani,5.0,ekor sedang,udang segar,udang segar
Bakso,170,10 biji sedang,LH,Lauk Hewani,10.0,biji sedang,bakso,bakso
Daging kambing,40,1 potong sedang,LH,Lauk Hewani,1.0,potong sedang,daging kambing,daging kambing
Daging sapi,35,1 potong sedang,LH,Lauk Hewani,1.0,potong sedang,daging sapi,daging sapi
Ginjal sapi,45,1 potong besar,LH,Lauk Hewani,1.0,potong besar,ginjal sapi,ginjal sapi
Hati ayam,30,1 buah sedang,LH,Lauk Hewani,1.0,buah sedang,hati ayam,hati ayam
Hati sapi,50,1 potong sedang,LH,Lauk Hewani,1.0,potong sedang,hati sapi,hati sapi
Otak,65,1 potong besar,LH,Lauk Hewani,1.0,potong besar,otak,otak
Telur ayam,55,1 butir,LH,Lauk Hewani,1.0,butir,telur ayam,telur ayam
Telur bebek asin,50,1 butir,LH,Lauk Hewani,1.0,butir,telur bebek asin,telur bebek asin
Telur puyuh,55,5 butir,LH,Lauk Hewani,5.0,butir,telur puyuh,telur puyuh
Usus sapi,50,1 potong besar,LH,Lauk Hewani,1.0,potong besar,usus sapi,usus sapi
Bebek,45,1 potong sedang,LH,Lauk Hewani,1.0,potong sedang,bebek,bebek
Belut,45,3 ekor,LH,Lauk Hewani,3.0,ekor,belut,belut
Kornet daging sapi,45,3 sendok makan,LH,Lauk Hewani,3.0,sendok makan,kornet daging sapi,kornet daging sapi
